date,deduc_type_rel_gross_43
2018Q3,0.051341478
2018Q4,0.029614614
2019Q1,0.015270066
2019Q2,0.187755102
2019Q3,0.034020838
2008Q4,0.251820641
2009Q4,0.01735428
2011Q4,0.023505893
2008Q2,0.287781716
2008Q3,0.057785624
2012Q1,0.051886818
2012Q2,0.184566926
2012Q3,0.08731991
2012Q4,0.22646094
2013Q1,0.138019785
2013Q2,0.180041529
2013Q3,0.167991758
2013Q4,0.093387375
2014Q1,0.147027953
2014Q2,0.233916827
2014Q3,0.235346112
2014Q4,0.122684543
2015Q1,0.259012183
2015Q2,0.126698199
2015Q3,0.078247993
2015Q4,0.094213692
2016Q1,0.117040136
2016Q3,0.284598918
2016Q4,0.23450991
2017Q1,0.136082605
2017Q2,0.309769671
2008Q1,0.611684897
2008Q2,0.727422416
2008Q3,0.770843418
2008Q4,0.129907694
2009Q1,0.639518924
2009Q2,0.681277034
2009Q3,0.74184271
2009Q4,0.587171686
2010Q1,0.476737155
2010Q2,0.481394398
2010Q3,0.503247326
2010Q4,0.517112009
2018Q4,0.348630509
2019Q2,0.493834344
2019Q4,0.545128727
2020Q1,0.270475118
2020Q2,0.391982392
2020Q3,0.5515638
2020Q4,0.584560949
2021Q1,0.556576787
2021Q2,0.469796553
2022Q1,0.581661217
2022Q3,0.475114516
2009Q4,0.009509813
2008Q3,0.025222213
2009Q1,0.054621285
2009Q2,0.046547245
2009Q3,0.061517957
2009Q4,0.062579581
2016Q3,0.022755558
2016Q4,0.025441191
2018Q1,0.014341138
2018Q2,0.025616826
2018Q3,0.012576956
2018Q4,0.018970249
2020Q4,0.822260087
2021Q4,0.714938568
2009Q4,0.579274311
2012Q3,0.526885484
2012Q4,0.292278372
2013Q1,0.254787659
2013Q2,0.348891418
2013Q3,0.292364577
2013Q4,0.278906114
2014Q1,0.342702886
2014Q2,0.504514574
2014Q3,0.352739034
2014Q4,0.346081693
2015Q1,0.449648752
2015Q2,0.349065973
2015Q3,0.275631791
2015Q4,0.352650052
2016Q1,0.427463748
2016Q2,0.323077518
2016Q3,0.253448494
2016Q4,0.433882525
2017Q1,0.485472347
2017Q2,0.593874095
2017Q3,0.534534775
2017Q4,0.490828653
2018Q1,0.463901939
2018Q2,0.702088901
2018Q3,0.710004546
2018Q4,0.596759683
2019Q1,0.192716544
2019Q2,0.38648609
2019Q3,0.304879018
2019Q4,0.243727506
2020Q1,0.656372652
2020Q2,0.380165274
2020Q3,0.496225679
2020Q4,0.289103745
2021Q1,0.416415357
2021Q2,0.312000164
2021Q3,0.267303103
2021Q4,0.519708842
2022Q1,0.322135918
2022Q2,0.491702865
2022Q3,0.553949867
2010Q3,0.083714907
2011Q4,0.914183711
2013Q1,0.068664687
2014Q3,0.154852703
2018Q1,0.15532856
2018Q3,0.004934032
2018Q4,0.064003668
2019Q1,0.011845435
2019Q2,0.04019207
2019Q3,0.008701873
2019Q4,0.008696602
2020Q1,0.018662642
2020Q2,0.006346949
2020Q3,0.06083168
2020Q4,0.197160218
2021Q1,0.068576365
2021Q2,0.345432031
2021Q3,0.049641331
2021Q4,0.031139816
2022Q1,0.080296113
2022Q2,0.014869916
2022Q3,0.305918262
2020Q4,0.603576773
